branch_id,branch_name,city,state,country,zip_code,manager_employee_id,opened_date,created_at,updated_at,source_system
BR00000051,HYDERABAD Regional Office,HYDERABAD,TELANGANA,India,500005,,2010-09-12,2026-08-03 12:12:52.418282,,Enterprise System
BR00000052,PATHANAMTHITTA Commercial Branch,PATHANAMTHITTA,KERALA,India,689515,,2006-05-31,2026-08-03 12:12:52.418282,,Enterprise System
BR00000053,TENKASI Commercial Branch,TENKASI,TAMIL NADU,India,627856,,2006-05-17,2026-08-03 12:12:52.418282,,Enterprise System
BR00000054,CHENGALPATTU Corporate Branch,CHENGALPATTU,TAMIL NADU,India,603201,,2014-01-30,2026-08-03 12:12:52.419788,,Enterprise System
BR00000055,MURSHIDABAD Financial Centre,MURSHIDABAD,WEST BENGAL,India,742174,,2025-04-29,2026-08-03 12:12:52.419788,,Enterprise System
BR00000056,SRIKAKULAM Financial Centre,SRIKAKULAM,ANDHRA PRADESH,India,532409,,2004-01-26,2026-08-03 12:12:52.420794,,Enterprise System
BR00000057,JAJAPUR Financial Centre,JAJAPUR,ODISHA,India,755044,,2011-09-07,2026-08-03 12:12:52.420794,,Enterprise System
BR00000058,SIMDEGA Business Centre,SIMDEGA,JHARKHAND,India,835212,,2012-03-08,2026-08-03 12:12:52.421793,,Enterprise System
BR00000059,KODAGU Regional Office,KODAGU,KARNATAKA,India,571249,,2014-07-29,2026-08-03 12:12:52.421793,,Enterprise System
BR00000060,VIZIANAGARAM Corporate Branch,VIZIANAGARAM,ANDHRA PRADESH,India,535594,,2011-08-30,2026-08-03 12:12:52.422798,,Enterprise System
BR00000061,HOOGHLY City Branch,HOOGHLY,WEST BENGAL,India,712233,,2015-05-05,2026-08-03 12:12:52.422798,,Enterprise System
BR00000062,PURBI CHAMPARAN Financial Centre,PURBI CHAMPARAN,BIHAR,India,845430,,2008-02-12,2026-08-03 12:12:52.423798,,Enterprise System
BR00000063,DHANBAD Commercial Branch,DHANBAD,JHARKHAND,India,828108,,2024-09-07,2026-08-03 12:12:52.423798,,Enterprise System
BR00000064,THIRUVARUR Corporate Branch,THIRUVARUR,TAMIL NADU,India,609504,,2018-05-06,2026-08-03 12:12:52.424798,,Enterprise System
BR00000065,HOOGHLY Financial Centre,HOOGHLY,WEST BENGAL,India,712152,,2011-06-09,2026-08-03 12:12:52.424798,,Enterprise System
BR00000066,Ariyalur Main Branch,Ariyalur,TAMIL NADU,India,608901,,2004-04-04,2026-08-03 12:12:52.425798,,Enterprise System
BR00000067,JEHANABAD Commercial Branch,JEHANABAD,BIHAR,India,804406,,1999-01-13,2026-08-03 12:12:52.425798,,Enterprise System
BR00000068,KARIMNAGAR City Branch,KARIMNAGAR,TELANGANA,India,505530,,2015-09-02,2026-08-03 12:12:52.426798,,Enterprise System
BR00000069,HAMIRPUR Retail Branch,HAMIRPUR,HIMACHAL PRADESH,India,177119,,2012-06-24,2026-08-03 12:12:52.426798,,Enterprise System
BR00000070,NAGAUR Retail Branch,NAGAUR,RAJASTHAN,India,341533,,2005-07-27,2026-08-03 12:12:52.427798,,Enterprise System
BR00000071,CHURU City Branch,CHURU,RAJASTHAN,India,331502,,2003-04-14,2026-08-03 12:12:52.427798,,Enterprise System
BR00000072,SITAMARHI Retail Branch,SITAMARHI,BIHAR,India,843333,,2018-11-23,2026-08-03 12:12:52.428798,,Enterprise System
BR00000073,MANDYA Business Centre,MANDYA,KARNATAKA,India,571424,,2012-09-09,2026-08-03 12:12:52.428798,,Enterprise System
BR00000074,KODAGU Business Centre,KODAGU,KARNATAKA,India,571232,,2017-10-18,2026-08-03 12:12:52.429798,,Enterprise System
BR00000075,Y.S.R. Business Centre,Y.S.R.,ANDHRA PRADESH,India,516108,,2020-03-27,2026-08-03 12:12:52.430302,,Enterprise System
